"boardgamegeek.com game ID",title,yearpublished,playingtime,minplaytime,maxplaytime,minage,minplayers,maxplayers,categories,mechanics,families,designers,artists,publishers,"numplayervotes (1B 1R 1N 2B 2R 2N ...)","agevotes (2 3 4 5 6 8 10 12 14 16 18 21+)","textuse (no some mod ext max)"
150658,"Pandemic: The Cure",2014,30,30,30,8,2,5,"1017 1084 2145","2023 2072 2040 2078 2661 2004 2015","3430","378","2954 74074 14057","157 15889 5657 1391 5812 538","5 35 16 13 55 5 47 20 0 33 26 1 4 40 7 1 2 31","0 0 0 0 0 8 3 1 1 0 0 0","0 20 0 0 0"
88,"Torres",1999,60,60,60,12,2,4,"1009 1035","2001 2080 2043 2676 2040 2002","5607 40","42 7","11887 11825 11883","29 2366 11 3490 26024 34 3 42 4932","0 0 52 18 45 23 35 47 4 61 24 3 0 1 41","0 0 0 0 0 4 9 4 0 0 0 0","17 14 7 0 0"
20551,"Shogun",2006,150,150,150,12,3,5,"1021 1035 1086","2689 2080 2046 2012 2020 2079","9470 10634 28732","60","11825","47 6784 8845 10946 7466","0 1 111 1 11 108 15 104 55 102 89 2 144 42 7 0 0 78","0 0 0 0 0 3 8 25 11 3 0 0","79 3 0 0 0"
105,"Colossal Arena",1997,60,60,60,8,2,5,"1002 1010 1082","2014 2040","3400 8096 5615","2","12519 12033 12034 20625 32008 20628 11872 885","1876 5 6194 2973 17 1391 8291 3218 3395 504 9234 3446","0 1 92 14 59 58 102 45 4 55 84 4 19 71 43 0 3 75","0 0 0 0 0 11 13 4 0 0 0 0","0 20 10 0 1"
68448,"7 Wonders",2010,30,30,30,10,2,7,"1050 1002 1029 1015","2041 2040 2004 2020 2015","17552 27646","9714","12016","4384 23043 157 15889 15605 8820 1391 6214 3218 9325 7466","2 10 821 107 302 651 328 767 122 774 502 28 618 610 41 282 778 117 258 703 201 17 61 560","0 0 1 0 12 86 127 86 18 3 1 0","285 82 4 1 0"
104006,"Village",2011,90,60,90,12,2,4,"1013 1035","2004 2082","26370","6940 6941","12484","267 4304 6194 1015 22560 30213 155 10562 1391 9634 6214 3218 30399 16826 39 11652 9234 9499 17786 1466","0 1 103 24 130 26 57 117 1 145 46 1 1 8 75","0 0 0 0 0 3 17 27 5 1 0 0","70 0 0 0 0"
39856,"Dixit",2008,30,30,30,6,3,6,"1002 1079 1030","2020 2027 2017","9644","11547","12691","23043 157 15889 15605 8820 10562 1391 9634 6214 8291 3218 9051 5787 11107 29085 7466 9234","0 0 277 1 4 286 2 82 251 63 285 34 266 132 0 323 73 2 45 86 93","0 1 4 10 39 63 16 7 2 2 0 0","159 0 0 0 2"
170216,"Blood Rage",2015,90,60,90,14,2,4,"1010 1046 1047 1082","2001 2080 2046 2041 2040 2047 2020","25158 8374 5613","1533","24858 1723 12495","21608 157 15889 25074 34522 2973 15605 12540 21020 2726 21053","0 1 180 4 85 140 43 199 21 244 37 5 37 60 67","0 0 0 0 0 5 14 21 6 1 0 0","0 1 29 4 1"
36946,"Red November",2008,120,60,120,13,1,8,"1010 1079 1008","2046 2023 2072 2040 2663","3400 5666 5610","125 10739","125 10739 12028","3475 2973 18788 17 4617 264 504 3446 8759","12 26 35 7 43 26 17 56 10 58 32 4 27 46 9 15 36 24 2 21 46 2 16 53 0 1 49","0 0 0 0 0 4 10 9 2 0 0 0","1 25 15 0 0"
10,"Elfenland",1998,60,60,60,10,2,6,"1010 1097","2041 2040 2078 2081","34380 19299","9","74","267 8 6818 18852 3395 3","0 0 56 2 20 52 10 44 17 47 35 1 35 44 2 23 48 11 0 1 46","0 0 0 1 6 14 10 0 0 0 0 0","32 0 0 0 0"
62219,"Dominant Species",2010,240,120,240,14,2,6,"1089 1084 1036","2080 2041 2676 2011 2002 2015 2082","12210 16886","6331","6331 71 34490 18461","52 15889 5657 570 8759","2 5 190 21 106 130 61 194 31 214 111 4 84 160 46 74 110 96 1 2 152","0 0 0 0 0 1 1 14 40 15 0 2","2 20 42 3 0"
2381,"Scattergories",1988,30,30,30,12,2,6,"1030 1037 1025","2072 2055","8041 6485 11505 10248 4711","3","","1410 858 51 4539 17039 6290 20 28 2011","1 1 29 1 18 14 4 26 4 33 9 1 25 12 1 25 12 0 7 16 10","0 0 0 0 0 2 8 9 0 0 0 0","1 0 4 3 14"
124708,"Mice and Mystics",2012,120,120,120,7,1,4,"1022 1020 1010 1046 1047","2046 2023 2072 2028 2027 2015","7269 24281 23851 5666","23005","29142 77485","10754 24042 24883 5657 15605 264 23756 3242","17 99 28 46 97 8 21 105 14 116 43 5 4 11 84","0 0 0 4 21 40 30 6 0 0 0 0","0 0 1 67 7"
138788,"Dungeon Roll",2013,15,15,15,8,1,4,"1017 1010 1046","2072 2040 2661 2015","7005 8374 23871 5666 17927","67287","40032 12993 67288","9499 2973 15605 18852 39 3242","57 62 10 95 39 5 15 60 43 7 21 86 2 1 90","0 0 1 3 14 15 2 0 0 0 0 0","0 25 8 1 0"
140,"Pit",1903,90,30,90,7,3,8,"1002 1021 1030 1037","2004 2008","8162 5636","3457 2744 991","55897 55898 9019 55900 55901 55899 55902","4 3475 1772 792 11264 253 200 2845 3676 51 4721 3922 6214 8291 11107 48 28 4384 9927 288 2027 95 59 5117","0 0 49 0 0 49 0 8 49 2 38 20 14 41 8 38 25 1 41 21 3 44 15 2 10 15 18","0 0 0 0 3 10 2 0 0 0 0 0","13 2 0 0 0"
2511,"Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases",1981,120,60,120,10,1,8,"1039 1040 1093 2710 1081","2023 2027","7510 17446 14759 28631 5666","1221 1220 1219","2954 12886 11568 39783 14878 23319","157 15889 111 150 41 2973 435 6214 37 549 25842 2861 29629","63 66 14 94 46 7 43 72 7 30 71 20 12 49 46 5 39 55 6 16 69 2 6 58 2 3 57","0 0 0 0 0 0 0 15 9 1 0 0","0 0 0 6 67"
175914,"Food Chain Magnate",2015,240,120,240,14,2,5,"1021 1088","2041 2664 2011 2081 2020","5841","270 407","85079 12602","140","0 0 67 13 66 17 65 32 4 60 31 3 12 44 25 0 2 63","0 0 0 0 0 0 3 4 15 4 1 0","0 13 10 0 0"
122515,"Keyflower",2012,120,90,120,12,2,6,"1029 1021 1008 1070 1086","2012 2047 2011 2007 2081 2004 2002 2082","21622 8374 48 23972 129","7448 134","11888 63350 64986","83 31815 24883 1280 12540 22701 155 3490 10663","0 4 101 38 139 30 79 116 2 137 65 2 30 103 34 10 78 64 0 1 78","0 0 0 0 0 1 7 18 8 0 0 0","57 4 0 0 0"
50381,"Cards Against Humanity",2009,30,30,30,17,4,30,"1002 1079 1118 1030 1120","2040 2020","22707 8374","20334 20335 20336 20338 47207 20340 20341 20342","","4 1001 26638","0 3 94 0 4 96 1 17 79 18 54 31 40 60 7 73 32 4 62 36 8 62 34 9 31 47 15 26 51 18 9 43 39 8 41 40 6 25 52 6 22 53 6 20 55 5 12 60 5 10 61 4 9 61 4 8 62 3 9 61 3 5 64 4 4 64 3 3 65 3 3 65 3 3 64 3 3 64 3 3 64 3 3 64 4 3 63 3 3 64 3 2 66","0 0 0 0 0 1 0 1 5 49 35 6","0 0 4 40 25"
24068,"Shadow Hunters",2005,45,45,45,13,4,8,"1022 1023 1002 1039 1024 1030","2072 2019 2685 2015","5601 2989","5586","27989 53046 27983 27986 26874 27987 27984 27985 53047 27990","6384 5530 6214 37 5400 7992 538","0 0 85 0 0 84 0 2 83 0 24 78 13 70 20 46 70 1 75 39 0 68 39 5 13 13 43","0 0 0 1 0 2 13 15 2 0 0 0","0 3 22 6 3"
35677,"Le Havre",2008,150,30,150,12,1,5,"1029 1021 1088 1008","2082","11006 3866 10246 5666","10","11507","234 267 5657 1391 6275 8291 5812 29242 30677 10 7992 3888 17786 2861 538","9 195 112 145 285 31 382 119 5 96 243 100 13 89 284 0 2 224","0 0 0 0 1 2 12 52 26 6 1 0","1 30 67 12 1"
68425,"Eminent Domain",2011,45,45,45,10,2,4,"1002 1015 1016 1113","2041 2664 2040 2079","8374 26299 17928 27646 17927","6291","32887 40032 26009 46211 12993 12065 12674 24847","9499 3475 18852 39","1 1 52 30 59 8 63 39 2 29 49 10 1 6 46","0 0 0 0 2 2 14 10 2 0 0 0","2 7 29 7 0"
46213,"Telestrations",2009,30,30,30,12,4,8,"1079 1030 1037","2039 2055","","3","3","403 9068 4335 792 2400 454 153 8291 23031 10970 7466 22609 634","0 0 72 0 2 71 0 2 71 1 24 49 5 43 30 24 61 2 22 51 8 79 13 0 16 17 22","0 0 0 0 2 14 9 2 1 0 1 0","4 2 3 11 2"
183394,"Viticulture Essential Edition",2015,90,45,90,13,1,6,"1021 1013","2040 2079 2082","11515 5666 23988 8496","71006 62640 62641","65633 44234 71164","3475 22380 4785 29242 30677 5400 23202","5 62 10 18 64 5 47 33 1 63 26 0 18 44 8 3 43 26 0 1 50","0 0 0 0 0 1 6 15 3 1 0 0","0 0 11 0 0"
22141,"Cleopatra and the Society of Architects",2006,60,60,60,10,3,5,"1050","2043 2012 2041 2072 2040 2004 2002","5607 6471 24571","1727 4337","12519 11886","1027 2973 3118","0 0 41 1 11 39 7 49 6 51 16 0 20 44 4 0 0 30","0 0 0 0 0 7 12 3 0 0 0 0","0 23 7 0 0"
40849,"Pandemic: On the Brink",2009,45,45,45,8,2,5,"1084 1042 2145 1016","2001 2023 2040 2019 2078 2016 2004 2008 2015","3430","378 150","9731 11935 14057 12674 16910","4304 15889 6784 2366 5657 8820 1391 6275 15983 5812 3218 9325 7992 39 4696 8759 538 35809","3 37 31 14 68 5 36 49 3 59 31 1 8 55 16 1 5 53","0 0 0 0 2 8 17 7 1 1 0 0","1 13 28 1 0"
97842,"Last Will",2011,75,45,75,13,2,5,"1002 1021 1079","2001 2040 2082","14759 27646","9307","28450","7345 3475 29194 264 8923 7992 30552 7466 3 17786","0 0 35 7 42 13 21 41 3 41 28 2 10 37 9 0 1 32","0 0 0 0 0 2 5 12 2 0 0 0","37 5 0 0 0"
59959,"Letters from Whitechapel",2011,120,120,120,13,2,6,"1023 1039 1040 2710","2047 2019 2078 2016","11971 17446 17056","8540 10052","10052","267 2366 2973 17 4617 5530 264 1391 8291 504 14346 18942 3888 9234","1 3 149 182 73 13 55 133 21 33 133 36 24 98 68 57 68 74 1 6 117","0 0 0 0 0 0 5 23 10 6 0 0","50 6 0 0 0"
146652,"Legendary Encounters: An Alien Deck Building Game",2014,45,45,45,17,1,5,"1002 1046 1024 1064 1016","2041 2023 2664 2019 2685 2015","5679 23689 5666","10489 4372","","517","21 80 15 28 83 8 78 41 2 43 63 8 11 49 44 2 2 63","0 0 0 0 0 1 11 13 22 13 4 0","0 3 26 16 0"
325,"Catan: Seafarers",1997,90,90,90,10,3,4,"1015 1042 1020 1008 1026","2072 2040 2047 2011 2081 2008","3","11","12036 12382 26874 4959 11825 25612 11883 12063","267 4304 7162 4335 496 2366 26990 5657 4617 5530 21640 858 18852 8822 31372 29036 5020 6214 37 5597 10 22 8313 9234 42 13481","0 0 70 0 8 64 28 54 3 70 15 3 4 14 36","0 0 0 0 1 11 15 4 1 0 0 0","18 20 2 0 0"
113924,"Zombicide",2012,180,45,180,13,1,6,"1024 1047 2481","2001 2023 2072 2040 2011 2685 2015","8374 5666 21856","55929 8776 3014","12935 14551 29422 55930","157 15889 12031 21608 2973 15605 21020 18852","21 95 33 46 93 19 107 54 5 53 86 27 29 90 25 96 58 16 4 16 75","0 0 0 1 2 23 30 22 12 2 1 0","5 62 6 0 0"
59946,"Dungeons & Dragons: Castle Ravenloft Board Game",2010,60,60,60,12,1,5,"1022 1020 1010 1046 1024 1047","2023 2072 2676 2011 2028 2015","7307 9547 7757 5666 6428","2746 15913 13108 3944","11994 14611 19263 14940 12316 19123","13","17 59 27 24 69 8 40 60 2 64 41 0 42 53 7 2 3 55","0 0 0 1 4 17 33 11 6 1 0 0","1 2 12 59 1"
71,"Civilization",1980,360,360,360,12,2,7,"1050 1015 1021 1026","2080 2046 2040 2004 2008","22642","58 667","22241 2652 71 17672 12252","5 4225 4259 41 103 333 3458 22 5979 307","0 0 63 0 7 68 1 30 43 14 49 13 34 52 3 45 48 0 57 28 6 5 12 36","0 0 0 0 0 0 5 12 7 2 0 0","2 26 6 1 0"
150312,"Welcome to the Dungeon",2013,30,30,30,10,2,4,"1023 1002 1010 1046","2047 2685 2661","28174","76303","38196","25074 26638 2366 28415 264 18852 24907 8923 6214 22649 2726 36563 21053 17786","0 0 47 15 41 17 45 22 2 26 31 8 0 5 37","0 0 0 0 1 14 8 0 0 0 0 0","1 16 1 0 0"
320,"Scrabble",1948,90,90,90,10,2,4,"1025","2040 2002","10149 11505 4711","143","67649 46983","3320 404 4922 4680 389 553 654 847 2919 1765 4612 1731 4089 200 51 3540 8245 335 9634 17882 93 9006 20 2368 32395 28 486 3994 4858 34674 16091 359 1318 288 17229 12557 8667 12656 1052 26123 634 59 24099 5613 30657 11953","0 14 124 137 49 2 42 101 32 42 84 49 3 6 125","1 0 0 0 4 24 21 11 4 0 0 0","13 5 2 4 72"
16986,"Ubongo",2003,25,25,25,8,1,4,"1028 1037","2048 2004","9368 24571 137","988","12056","4304 4335 2366 22560 6589 5530 6275 6214 405 2721 8291 37 5597 23031 9235 254 14078 4932 8147 538","0 5 24 5 35 10 11 37 0 49 8 0 0 3 17","0 0 1 4 7 6 1 0 0 0 0 0","29 0 0 0 0"
54043,"Jaipur",2009,30,30,30,12,2,2,"1089 1002","2041 2040 2004","6480 9470 9961","6736","12282","157 24631 531 6347 6214 7466 33998","0 0 140 178 9 1 5 11 120","0 0 0 3 24 38 17 2 0 0 0 0","69 0 0 0 0"
137297,"Rise of Augustus",2013,30,30,30,8,2,6,"1050 1002","2041 2004 2015","5606","7640","12130","6015 3218","0 1 38 6 43 10 38 30 0 49 19 0 21 38 3 12 39 9 1 3 30","0 0 0 1 12 25 3 0 0 0 0 0","38 1 0 0 0"
2243,"Yahtzee",1956,30,30,30,6,2,10,"1041 1116 1017 1064 1054 1038 1097","2072 2055 2661 2004","7334 20251 5597 28535 6819 10407 5733 18227 18234 13111 18235 14835 40091 6364 5890 6791 5635 10441 43634 41222 12927 17513 20252 19355 19288 20273 19285 5640 5586 43673 19291 41419 6363 5860 9721 5563 24924 5066","63768","3 46983 53418 50679 39037","171 404 8 3626 73 4718 586 496 11320 1299 4612 3082 64 253 23126 11 4527 9419 22271 858 51 35890 3540 335 405 127 8931 4554 6290 20 304 7885 2924 28 648 22 23512 38 4622 964 634 95 59 24099","8 19 28 22 36 6 40 21 5 40 21 5 11 38 14 4 41 18 1 12 40 1 9 42 1 5 44 2 4 44 2 4 42","0 0 3 5 19 13 2 0 0 0 0 0","29 7 0 0 1"
156129,"Deception: Murder in Hong Kong",2014,20,20,20,14,4,12,"1023 1039 1040 1030 1081","2019","8374","73872","17988 78064 61129","26427 8923 15983 9325","0 0 56 0 0 56 0 0 57 2 16 44 6 38 21 29 33 3 43 23 1 44 23 1 18 34 8 8 36 13 5 28 23 5 27 24 0 4 39","0 0 0 0 0 0 6 9 5 0 0 0","0 3 11 1 1"
1465,"Wizard",1984,45,45,45,10,3,6,"1002","2014 2040 2009","14370","618","11883","3320 267 8 21 2378 1765 22560 8845 155 26059 9634 6214 5597 3218 5936 5787 22 9234 55 468 1466","0 0 61 0 5 56 13 38 23 54 30 0 50 31 1 32 39 8 0 2 48","0 0 0 0 0 6 11 4 0 0 0 0","29 0 0 0 0"
129437,"Legendary: A Marvel Deck Building Game",2012,45,45,45,14,1,5,"1002 1116","2023 2664","5338 23689 5666 17935","5816","65636 65637 62181 65638 65639 65640 65641 65642 14993 15382 65643","517","25 143 47 74 162 14 180 90 4 91 134 26 17 90 125 0 13 141","0 0 0 0 9 33 32 18 2 0 2 0","0 18 26 26 1"
127067,"King of Tokyo: Power Up!",2012,30,30,30,8,2,6,"1017 1042 1064 1016","2072 2015","7265 20718 10634 24569 28525 5615","14","62528 62529 1279 76496","6784 7496 15605 264 1391 6275 8923 25203 22651 17786","0 1 25 0 9 20 5 23 2 22 12 0 17 15 0 17 13 1 3 4 13","0 0 0 0 8 8 1 1 0 0 0 0","0 0 14 3 1"
171668,"The Grizzled",2015,30,30,30,10,2,5,"1002 1065","2023 2040 2661 2015","","79931 2098","45602","25074 21608 16826 12047 7466 26720 19187","0 2 46 3 17 42 12 56 6 41 29 3 43 26 1 0 0 33","0 0 0 0 0 3 15 2 1 0 0 0","1 11 6 0 0"
171623,"The Voyages of Marco Polo",2015,100,40,100,12,2,4,"1017 1021 1035 1097","2041 2072 2078 2004 2015 2082","6480 41314 41411 17740","35418 59986","12484","133 267 4304 3475 2366 5657 5530 6214 22 9234 538","1 9 96 27 149 15 67 114 0 119 58 6 0 2 70","0 0 0 0 0 1 15 23 3 1 0 0","50 4 0 0 0"
192291,"Sushi Go Party!",2016,20,20,20,8,2,8,"1002","2041 2040 2004 2020","5841","8347","79989","2366 108 17786 4932 87","0 0 36 2 29 15 10 35 2 31 15 0 26 18 0 13 29 1 3 30 4 2 28 8 0 0 29","0 1 0 1 2 10 0 0 0 0 0 0","2 6 0 0 0"
103343,"A Game of Thrones: The Board Game (Second Edition)",2011,240,120,240,14,3,6,"1023 1010 1026 1093 1001 1019","2080 2046 2012 2040 2685 2020 2015","4683 5068","21","12019 24858","17 23043 24631 6194 2973 22560 4617 15605 12540 5530 264 18852 8291 23628 3888","3 1 384 1 5 390 24 143 340 24 269 224 57 375 104 586 57 6 12 11 212","1 0 0 0 0 1 4 25 64 41 5 4","0 86 50 4 1"
15363,"Nexus Ops",2005,90,90,90,12,2,4,"1020 1046 1016 1019","2080 2072 2040 2011","25158","5585 65291","19411 24858 12658 13412 18317 39902","4871 17","1 3 88 18 92 25 59 77 7 110 47 1 1 0 77","0 0 0 1 2 12 14 2 0 1 0 0","1 2 30 2 0"
2398,"Cribbage",1630,30,30,30,10,2,4,"1002","2040","24431 24434 11407 11505 98","985","","171 3320 28175 14618 4074 16355 16336 225 507 2401 18726 17388 193 229 22978 64 12542 11188 23566 200 9938 19013 1758 1195 859 5722 291 19238 3922 21378 6720 10710 20 25006 19229 1781 2188 22 668 2256 115 21373 2625 468 18715 95 329 3245 7506 9301 16758","0 1 58 81 6 0 8 48 17 14 42 17 0 3 50","0 0 0 2 2 14 6 0 0 0 0 0","25 0 0 0 0"
63888,"Innovation",2010,60,45,60,12,2,4,"1002 1015","2040 2079","17657 27646","6001","6001 33502 26269 50672 14142 12080","5407 15889 1391 18852 6275 8923 17899 5812 30552 24844 8313 28402","2 5 166 230 103 8 107 165 35 30 125 139 0 3 177","0 0 0 0 0 0 9 29 12 1 0 0","0 0 1 65 9"
164928,"Orléans",2014,90,90,90,12,2,4,"1035 1115 1097","2664 2078 2082","26568 11006 8374 38433","158","11507","10848 3475 36401 30383 10768 29194 5400 32591 36763 9234 9499 4932","0 7 58 18 69 18 32 60 4 74 17 9 7 12 38","0 0 0 0 0 2 6 15 1 0 0 0","24 2 0 0 0"
13308,"Niagara",2004,45,30,45,8,3,5,"1008","2040 2007 2004 2020","5607 6485","4155","12587","267 4335 7496 155 5597 3 9234 87","0 0 42 0 13 33 6 45 7 40 21 0 34 28 0 1 2 33","0 0 2 3 2 17 7 0 0 0 0 0","42 0 0 0 0"
12493,"Twilight Imperium (Third Edition)",2005,240,180,240,14,3,6,"1015 1026 1001 1016 1113 1019","2001 2021 2072 2026 2011 2002 2008 2079 2015 2017","12210 25158 9983 29","21","11988 11989 11990","17","1 0 251 2 20 251 17 138 175 104 233 43 55 243 55 318 77 13 42 68 107","0 0 0 0 0 0 5 32 59 44 11 6","0 0 11 146 17"
147949,"One Night Ultimate Werewolf",2014,10,10,10,8,3,10,"1023 1002 1039 1024 1030","2028 2015 2017","8374 27945 2989","6046 69462","70607","5774 5812 34 30113 4932","0 0 105 0 1 106 2 33 92 10 67 34 43 72 8 85 38 3 81 37 1 60 50 3 30 57 11 27 56 15 5 24 45","0 0 0 1 2 11 19 4 2 0 0 0","23 6 0 0 0"
161970,"Alchemists",2014,120,120,120,13,2,4,"1039 1010","2001 2041 2040 2082","41489","75718","12692","3475 10768 7345 2366 2862 264 8923 8291 25203 7992 7466","0 4 102 33 109 23 74 92 2 104 57 7 0 2 81","0 0 0 0 0 4 8 24 19 2 1 0","0 18 24 2 0"
63268,"Spot it!",2009,15,15,15,7,2,8,"1002 1041 1094 1030 1037 1038","2060","19023 27505 41603 5586 5652 17516 18318","34825 35650 1279","34825 50679 1279","23043 157 15889 491 9068 5522 1280 15605 8820 8439 1391 9634 6214 3218 9325 11107 7365 31904 7466","0 2 37 1 36 12 13 37 1 36 15 1 28 21 1 19 25 5 7 25 12 7 22 16 1 5 30","2 6 17 13 7 0 1 0 0 0 0 0","25 2 0 0 0"
126163,"Tzolk'in: The Mayan Calendar",2012,90,90,90,13,2,4,"1050 1015 1021 1013 1082","2004 2082","12803 10642","35418 59986","11961","7345 10768 29194 2862 264 1391 8923 25203 7992 7466 3 25973","0 7 150 45 178 24 74 158 7 193 58 10 0 5 111","0 0 0 0 0 0 3 31 15 0 1 0","82 1 1 0 0"
92828,"Dixit Odyssey",2011,30,30,30,8,3,12,"1002 1079 1030","2019 2020 2027 2017","9644","11547","12691 12383","23043 157 15889 15605 8820 10562 9634 6214 3218 9051 9325 7466 9234","0 0 65 0 1 66 0 10 58 4 50 21 35 40 3 68 16 1 29 37 4 25 45 6 9 42 16 9 41 18 5 32 28 6 28 29 1 4 44","0 0 0 2 7 16 5 2 0 0 0 0","42 0 0 0 0"
40692,"Small World",2009,80,40,80,8,2,5,"1010 1046 1086","2080 2046 2072 2015","3868","49","12016 12519","1027 15889 6784 14813 2973 15605 1391 18852 7466 33998 3888","2 15 418 95 363 161 223 373 26 457 194 12 169 355 71 3 27 288","0 0 0 4 19 112 90 9 8 0 0 1","123 100 32 3 1"
158899,"Colt Express",2014,40,30,40,10,2,6,"1055 1046 1034","2689 2040 2047 2011 2686 2015","5607","28912","37676 75666","11688 157 15889 9068 8820 28415 1391 9634 6214 3218 7992 7466","0 1 131 1 21 133 7 109 48 64 109 5 120 56 2 105 63 5 0 2 70","0 0 1 1 12 29 9 1 0 0 0 0","43 3 0 0 1"
136888,"Bruges",2013,60,60,60,10,2,4,"1002 1029 1017 1021 1070","2072 2040","20094 12226 27646","4958","11825","133 3475 9068 917 5657 18852 4932 538","0 3 56 24 78 7 66 30 0 48 42 3 1 2 44","0 0 0 0 0 1 18 11 1 0 0 0","0 3 18 23 1"
25821,"The Werewolves of Miller's Hollow",2001,30,30,30,10,8,18,"1023 1039 1024 1040 1030","2019 2685 2028 2015 2017","2989","219 1318","12693","267 157 15889 4570 17447 5350 2024 5787 9234","0 0 53 0 0 52 0 0 53 0 0 50 0 1 50 0 10 42 2 15 37 7 37 17 18 40 5 32 32 0 33 28 0 48 19 0 38 22 1 35 26 1 31 26 3 24 26 7 19 28 8 22 27 8 16 21 14","0 1 0 0 0 9 15 2 0 0 0 0","28 2 0 0 1"
140620,"Lewis & Clark",2013,120,120,120,14,1,5,"1055 1031","2041 2664 2040 2078 2082","5666 27646","67874","12130","11688 157 15889 264 7466 21053","5 80 30 33 108 13 129 36 1 30 85 27 2 42 88 0 0 64","0 0 0 0 0 2 6 15 9 1 0 0","46 1 1 0 0"
173,"Formula Dé",1991,120,120,120,10,2,10,"1031 1038","2676 2019 2685 2661 2035 2070","143 6206","107 108","2954 27903 21629 17672","267 157 41 116 5527 14 3176","2 7 71 4 26 50 6 52 29 23 55 11 62 30 3 36 46 6 22 54 10 27 46 14 17 37 24 24 37 24 2 15 43","0 0 0 1 9 19 6 1 0 0 0 0","40 3 0 0 0"
154203,"Imperial Settlers",2014,90,45,90,10,1,4,"1050 1002 1029 1015","2041 2040 2686 2015","5606 6471 10634 5666 27646","4735","12019","2726 3475 2973 24298 8820 23756 39 27654 21053 4932 1466","33 126 38 194 75 2 54 146 23 25 99 94 1 4 126","0 0 0 0 0 3 13 25 2 0 0 0","0 3 39 17 0"
70149,"Ora et Labora",2011,180,60,180,13,1,4,"1029 1021 1088 1035 1115 1086","2011 2048 2004 2002 2082","26397 11006 11546 3866 5666 27646 8496","10","11507","234 267 5657 12540 1391 6275 5812 17786 538","5 44 32 32 70 16 91 35 2 19 66 24 0 0 57","0 0 0 0 0 1 1 17 7 1 0 0","0 29 11 0 0"
101721,"Mage Wars Arena",2012,90,90,90,13,2,2,"1002 1010 1046","2072 2676 2020 2015","23262","50643 62645","13419 19822 49131 14879 14611 18700 66789 17923 14715 14106 30740 13418 30741 14614 25105 12651 19631 14142 22713 85826 17932","17812 15889 2366 12540 29907 22652 39 1466","0 1 85 119 13 2 10 49 31","0 0 0 0 0 7 12 30 16 3 0 0","0 5 26 29 4"
1115,"Poker",1810,60,60,60,12,2,10,"1023 1002","2014 2685 2004","9531 9313 11505 98","3","3 30281 30280","171 4 3320 74 3626 30 225 5131 18726 7217 10964 1270 200 24615 2830 564 19205 22 21535 16769 964 468 254 95 464","0 1 68 5 25 52 6 45 32 28 50 10 51 37 2 66 23 1 29 55 5 22 54 11 10 43 32 9 34 39 4 10 55","0 0 0 0 1 2 5 8 13 5 5 0","34 1 0 0 0"
157354,"Five Tribes",2014,80,40,80,13,2,4,"1052 1010 1082","2080 2012 2011 2004 2079","6480 11602","1727","78139","1027 15889 7466","1 35 178 178 146 39 137 188 6 128 163 45 3 3 169","0 0 0 0 0 3 24 26 11 0 0 0","53 16 3 0 0"
15364,"Vegas Showdown",2005,75,75,75,12,3,5,"1021","2012 2081 2002","18238","4871","14959 12658 18317","4871 13","0 0 58 1 11 55 10 75 14 47 57 2 75 27 2 0 0 41","0 0 0 0 0 3 8 7 1 0 0 0","0 4 30 1 0"
133473,"Sushi Go!",2013,15,15,15,8,2,5,"1002","2041 2040 2004 2020","10634 16972 5841","8347","79989 40000 8347","6567 18856 2691 2366 108 9287 9325 32395 7466 36563 17786 4932 87","0 0 114 9 73 71 55 97 2 125 37 1 49 80 9 1 12 78","0 0 0 10 44 19 1 0 0 0 0 0","30 18 0 0 0"
27627,"Talisman (Revised 4th Edition)",2007,90,90,90,13,2,6,"1022 1020 1010 1046","2072 2028 2035 2015","26","7483 345","20362 104765 14202 14108 12436 20363 104762","6457 6194 2366 2973 17 4617 12540 26 5530 264 1391 23628 504 39 8313","0 12 96 11 85 39 50 83 5 106 52 2 39 70 25 18 54 47 5 12 87","0 0 0 2 5 36 26 12 1 2 0 0","1 3 10 45 4"
31260,"Agricola",2007,150,30,150,12,1,5,"1089 1021 1013","2041 2040 2015 2082","3865 7530 7523 7379 7481 3866 5666 27646","10","11507","234 267 7162 14813 2366 5657 1391 18852 6275 8291 5812 7992 8313 3888 9234 2861 538","63 706 322 301 901 144 821 566 24 948 453 26 295 707 231 9 20 601","2 0 0 3 10 49 120 183 109 23 4 2","1 10 56 503 96"
8051,"Attika",2003,60,60,60,10,2,4,"1050 1029 1086","2011 2081 2002","18614 24921 10640","59","11869 59","267 133 6214 3","2 2 89 124 47 2 44 84 24 18 84 43 0 1 79","0 0 0 0 0 6 9 4 0 0 0 0","36 7 0 0 0"
3,"Samurai",1998,60,30,60,10,2,4,"1009 1035","2080 2040 2004 2002","9470 10634 42 28732","2","11883","267 29 7340 7335 41 2973 17 4617 133 1391 5812 3218 3 3954 8313 8759","0 0 122 96 129 13 158 80 2 69 127 25 0 1 102","0 0 0 0 4 11 23 5 0 0 0 0","70 0 0 0 0"
